temp,hr,spo2,gsr,label
39.0,137,77,2749,Critical
34.56,95,99,1408,Moderate
36.06,95,97,1073,Normal
39.91,143,83,3044,Critical
38.08,114,93,2114,High
36.12,60,97,906,Normal
36.6,71,99,1287,Normal
38.32,115,92,2474,High
34.91,69,96,1499,Moderate
38.76,116,92,2391,High
35.72,81,97,1601,Moderate
38.27,103,90,2524,High
36.61,65,98,1235,Normal
34.91,68,97,1650,Moderate
37.29,88,99,1209,Normal
40.0,143,86,2826,Critical
34.92,93,96,1418,Moderate
37.13,94,96,911,Normal
39.9,132,86,2882,Critical
37.14,81,96,868,Normal
40.08,121,79,3197,Critical
38.81,105,91,2505,High
38.66,107,90,2432,High
35.0,95,95,1553,Moderate
37.48,87,97,921,Normal
36.73,85,97,969,Normal
35.75,77,95,1879,Moderate
38.71,116,91,2574,High
40.08,145,88,3023,Critical
39.28,138,87,3124,Critical
35.87,88,97,1851,Moderate
34.9,64,99,1852,Moderate
35.08,66,98,1410,Moderate
40.26,131,86,2841,Critical
34.7,83,95,1466,Moderate
38.18,111,93,2392,High
38.85,107,90,2247,High
37.28,90,96,896,Normal
38.52,102,91,2446,High
35.07,98,96,1478,Moderate
35.83,79,98,1722,Moderate
40.47,141,78,3029,Critical
40.35,128,75,2816,Critical
35.68,72,98,1456,Moderate
38.34,108,91,2425,High
39.94,124,79,2782,Critical
34.75,98,95,1808,Moderate
37.24,82,98,1041,Normal
36.26,88,96,941,Normal
35.12,69,95,1655,Moderate
36.22,69,97,1088,Normal
34.97,86,95,1712,Moderate
38.34,108,91,2311,High
38.26,102,93,2167,High
36.56,79,95,991,Normal
38.35,105,92,2411,High
39.81,142,83,2605,Critical
39.16,139,88,3117,Critical
34.56,64,97,1893,Moderate
39.74,123,78,3027,Critical
38.31,119,91,2381,High
39.46,124,87,2949,Critical
38.89,117,93,2127,High
40.19,130,80,3168,Critical
39.83,127,87,3056,Critical
39.14,121,75,3172,Critical
38.02,110,90,2561,High
38.75,115,91,2172,High
39.87,147,77,2995,Critical
39.14,128,83,2669,Critical
38.15,107,93,2524,High
36.75,95,98,1037,Normal
36.2,90,96,1202,Normal
38.41,101,90,2253,High
35.09,64,98,1924,Moderate
36.52,62,99,1103,Normal
39.9,138,80,2644,Critical
35.35,94,96,1643,Moderate
37.08,77,99,1179,Normal
38.06,115,90,2477,High
36.06,69,96,976,Normal
34.62,63,97,1550,Moderate
35.5,82,95,1977,Moderate
40.03,144,84,3166,Critical
35.05,74,99,1733,Moderate
36.73,78,97,808,Normal
38.78,114,90,2359,High
36.45,94,99,1004,Normal
35.14,65,98,1934,Moderate
35.12,87,98,1715,Moderate
36.76,79,96,1191,Normal
38.58,109,91,2158,High
34.61,91,95,1519,Moderate
35.49,94,95,1798,Moderate
35.47,69,96,1798,Moderate
36.17,67,97,1195,Normal
38.11,112,93,2291,High
38.76,109,91,2168,High
38.76,116,90,2438,High
38.25,106,92,2141,High
34.53,89,97,1668,Moderate
36.36,68,97,963,Normal
36.18,64,95,1045,Normal
38.74,105,91,2104,High
39.13,140,76,2903,Critical
35.76,91,97,1825,Moderate
37.26,95,97,1111,Normal
37.14,84,98,1009,Normal
35.31,60,99,1520,Moderate
38.21,118,92,2348,High
34.84,66,97,1689,Moderate
34.7,61,97,1627,Moderate
38.5,103,90,2145,High
37.49,88,99,1283,Normal
38.42,108,93,2412,High
38.72,116,93,2332,High
35.3,89,97,1553,Moderate
34.76,94,99,1499,Moderate
34.81,76,98,1809,Moderate
40.28,148,77,3002,Critical
35.48,71,99,1843,Moderate
36.6,73,97,1192,Normal
39.05,146,77,3180,Critical
38.11,109,92,2138,High
36.88,83,96,1160,Normal
36.99,62,98,940,Normal
37.32,78,96,1138,Normal
40.32,146,84,3069,Critical
38.17,114,92,2316,High
36.68,82,96,823,Normal
40.27,137,82,2726,Critical
38.56,107,90,2153,High
38.1,111,93,2191,High
39.64,137,82,2672,Critical
39.7,124,79,3163,Critical
38.71,114,92,2342,High
35.79,91,99,1960,Moderate
36.3,86,99,987,Normal
39.77,144,82,3025,Critical
39.72,146,86,2764,Critical
36.98,68,96,1232,Normal
38.92,108,93,2238,High
34.9,87,99,1542,Moderate
38.36,114,91,2392,High
39.94,129,85,2832,Critical
40.25,144,77,2995,Critical
37.0,93,95,1289,Normal
36.34,95,96,867,Normal
34.8,75,99,1567,Moderate
38.25,100,90,2557,High
35.83,93,97,1915,Moderate
36.88,87,98,931,Normal
39.58,121,81,3074,Critical
36.71,84,95,1239,Normal
39.34,147,84,3153,Critical
36.28,68,96,1210,Normal
36.52,67,97,1037,Normal
36.08,80,99,1129,Normal
35.6,93,95,1405,Moderate
37.21,87,99,801,Normal
34.8,63,97,1944,Moderate
38.69,116,90,2136,High
38.98,116,91,2366,High
40.43,148,87,2809,Critical
36.27,70,95,1028,Normal
38.93,105,93,2191,High
36.99,75,95,1230,Normal
38.36,118,93,2511,High
37.45,98,99,1115,Normal
40.45,130,86,2930,Critical
37.46,94,96,951,Normal
37.41,90,96,1075,Normal
38.15,113,92,2357,High
38.53,116,90,2357,High
40.02,147,87,2739,Critical
35.66,86,99,1580,Moderate
36.69,94,96,1156,Normal
39.72,123,86,3009,Critical
34.69,97,97,1574,Moderate
36.42,83,99,944,Normal
36.96,94,97,866,Normal
39.26,131,88,3132,Critical
36.76,62,98,992,Normal
35.21,81,97,1547,Moderate
36.33,83,97,1056,Normal
38.37,101,91,2110,High
36.69,77,99,1010,Normal
39.58,137,86,3036,Critical
40.31,138,77,2738,Critical
35.59,81,98,1910,Moderate
40.23,141,87,2682,Critical
35.3,61,97,1744,Moderate
34.53,61,95,1625,Moderate
39.62,121,83,2836,Critical
34.56,80,96,1844,Moderate
37.34,78,96,813,Normal
35.42,66,99,1689,Moderate
36.71,90,97,825,Normal
38.11,102,90,2489,High
35.44,81,97,1853,Moderate
38.35,112,92,2583,High
40.47,126,79,2776,Critical
36.79,71,99,1199,Normal
39.47,130,77,2729,Critical
36.83,80,98,1136,Normal
34.83,70,96,1430,Moderate
39.85,144,80,2800,Critical
35.2,76,97,1747,Moderate
38.01,115,90,2230,High
35.37,73,95,1675,Moderate
37.43,81,96,1088,Normal
40.0,120,76,2984,Critical
37.27,68,95,1222,Normal
39.3,129,87,2804,Critical
34.88,64,99,1536,Moderate
35.51,66,98,1791,Moderate
37.31,77,99,800,Normal
38.7,106,91,2455,High
38.64,102,93,2310,High
39.28,144,76,2965,Critical
38.98,114,91,2218,High
36.28,97,95,1207,Normal
38.16,102,90,2158,High
36.09,65,96,1037,Normal
39.61,120,79,3085,Critical
36.61,73,97,963,Normal
34.94,97,99,1578,Moderate
38.31,117,92,2339,High
34.97,62,97,1931,Moderate
38.56,115,90,2243,High
38.7,105,90,2275,High
40.27,142,87,2824,Critical
40.01,127,86,3080,Critical
37.05,73,99,1077,Normal
40.02,146,82,3028,Critical
35.37,86,96,1436,Moderate
39.45,148,80,2609,Critical
34.69,72,97,1979,Moderate
37.37,88,95,1205,Normal
38.47,102,90,2507,High
39.17,149,81,3085,Critical
38.11,109,91,2272,High
38.01,109,90,2445,High
40.01,124,77,2879,Critical
38.21,101,90,2252,High
36.93,97,97,958,Normal
37.16,84,96,806,Normal
37.4,99,97,1142,Normal
34.69,88,98,1763,Moderate
35.06,80,98,1691,Moderate
35.71,76,96,1495,Moderate
37.19,91,97,1266,Normal
35.2,95,98,1854,Moderate
39.01,132,83,2952,Critical
37.13,70,98,969,Normal
34.87,66,97,1498,Moderate
34.93,85,99,1637,Moderate
36.69,79,99,1181,Normal
36.02,99,97,1271,Normal
40.46,147,81,2984,Critical
38.65,104,93,2511,High
38.76,107,90,2182,High
35.74,67,99,1909,Moderate
35.29,84,96,1985,Moderate
35.31,82,95,1813,Moderate
38.58,106,93,2530,High
35.29,62,96,1919,Moderate
35.83,81,98,1514,Moderate
39.43,138,76,2868,Critical
40.18,143,78,3183,Critical
38.88,101,90,2445,High
38.47,112,91,2358,High
36.08,89,99,962,Normal
34.55,75,97,1430,Moderate
38.8,107,90,2334,High
34.94,80,98,1559,Moderate
36.25,96,95,905,Normal
36.99,96,99,958,Normal
35.72,64,98,1478,Moderate
37.09,88,98,1011,Normal
38.99,106,90,2278,High
35.16,93,99,1778,Moderate
35.21,66,97,1573,Moderate
38.23,101,92,2230,High
38.64,117,92,2297,High
38.31,101,93,2485,High
39.42,131,85,3005,Critical
40.2,121,87,2837,Critical
36.68,65,95,852,Normal
38.82,106,90,2181,High
39.03,126,77,2822,Critical
36.79,90,99,929,Normal
38.74,101,91,2381,High
35.29,78,95,1835,Moderate
39.25,131,82,3164,Critical
