temp,hr,spo2,gsr,label
38.22,127,90,2323,High
36.38,80,97,1052,Normal
38.32,126,91,2197,High
40.28,161,77,2784,Critical
39.23,151,79,3009,Critical
38.43,136,91,2152,High
36.94,87,96,1084,Normal
39.67,163,80,2891,Critical
38.53,134,89,2061,High
37.61,115,94,1591,Moderate
39.5,143,79,2783,Critical
37.7,110,92,1697,Moderate
38.73,121,90,2108,High
36.99,62,100,1035,Normal
38.94,123,91,2441,High
37.26,63,96,1096,Normal
39.19,143,84,2997,Critical
36.56,86,99,1157,Normal
39.79,160,86,3031,Critical
37.91,108,92,1678,Moderate
36.96,77,99,1110,Normal
38.34,134,90,2437,High
38.58,122,89,2213,High
38.81,125,91,2479,High
36.39,66,99,807,Normal
37.78,103,94,1534,Moderate
36.25,70,95,1073,Normal
38.96,129,91,2580,High
37.75,105,92,1724,Moderate
36.9,97,98,947,Normal
37.98,109,93,1586,Moderate
38.63,128,91,2179,High
38.94,140,89,2202,High
37.64,104,94,1447,Moderate
37.64,116,93,1458,Moderate
36.45,93,98,822,Normal
38.87,122,90,2504,High
36.57,69,99,1292,Normal
37.64,107,93,1777,Moderate
38.8,126,90,2409,High
37.14,94,100,845,Normal
36.5,93,98,830,Normal
37.73,117,94,1723,Moderate
39.76,146,82,2820,Critical
38.65,139,91,2032,High
39.27,141,77,2969,Critical
37.77,104,92,1839,Moderate
38.91,132,90,2407,High
39.96,157,88,2837,Critical
39.29,145,77,3173,Critical
36.77,94,95,882,Normal
38.6,136,90,2243,High
36.66,86,95,1027,Normal
37.01,84,99,1216,Normal
37.76,103,94,1636,Moderate
37.87,104,92,1574,Moderate
38.82,130,91,2502,High
37.91,113,93,1803,Moderate
38.41,125,91,2276,High
40.07,151,79,2974,Critical
39.28,155,82,3150,Critical
38.77,130,91,2222,High
37.9,119,93,1401,Moderate
39.11,168,80,2903,Critical
40.45,150,87,2809,Critical
37.71,105,93,1493,Moderate
39.2,155,79,2939,Critical
38.57,130,91,2445,High
36.59,69,97,946,Normal
39.5,141,83,2928,Critical
38.36,131,90,2097,High
38.12,125,90,2248,High
38.92,138,90,2497,High
38.32,131,89,2481,High
36.14,88,99,1175,Normal
36.58,68,98,1114,Normal
39.88,141,75,2814,Critical
40.19,160,87,2728,Critical
36.53,75,96,1280,Normal
